Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,# Responses,Average Score,Out Of ,Standard Deviation ,Discrimination Index ,Point Biserial
,1,MC,',What time is the Spring break?,False,1,"   Monday, 3/6 - Friday, 3/10   ",Checked,14,4,4,0.00 %,0.00 %,n/a
,1,MC,',What time is the Spring break?,False,1,"   Tuesday, 3/7 - Friday, 3/10   ",UnChecked,0,4,4,0.00 %,0.00 %,n/a
,1,MC,',What time is the Spring break?,False,1,"   Wednesday, 3/8 - Friday, 3/10   ",UnChecked,0,4,4,0.00 %,0.00 %,n/a
,1,MC,',What time is the Spring break?,False,1,"   Thursday, 3/9 - Friday, 3/10   ",UnChecked,0,4,4,0.00 %,0.00 %,n/a
,2,MC,',What city has the highest life expectancy? ,False,1,HongKong,Checked,3,1.14,4,45.18 %,75.00 %,0.47
,2,MC,',What city has the highest life expectancy? ,False,1,New York,UnChecked,0,1.14,4,45.18 %,75.00 %,0.47
,2,MC,',What city has the highest life expectancy? ,False,1,Shanghai,UnChecked,3,1.14,4,45.18 %,75.00 %,0.47
,2,MC,',What city has the highest life expectancy? ,False,1,Singapore,UnChecked,7,1.14,4,45.18 %,75.00 %,0.47
,3,MC,',Which language has the more native speakers? ,False,1,English,UnChecked,4,2.67,4,47.14 %,50.00 %,0.39
,3,MC,',Which language has the more native speakers? ,False,1,Spanish,Checked,9,2.67,4,47.14 %,50.00 %,0.39
,3,MC,',Which language has the more native speakers? ,False,1,French,UnChecked,0,2.67,4,47.14 %,50.00 %,0.39
,3,MC,',Which language has the more native speakers? ,False,1,Russian,UnChecked,1,2.67,4,47.14 %,50.00 %,0.39
,4,MC,',What company was originally called "Cadabra"? ,False,1,Amazon,Checked,11,3.2,4,40.00 %,50.00 %,0.42
,4,MC,',What company was originally called "Cadabra"? ,False,1,Ford,UnChecked,0,3.2,4,40.00 %,50.00 %,0.42
,4,MC,',What company was originally called "Cadabra"? ,False,1,Uber,UnChecked,1,3.2,4,40.00 %,50.00 %,0.42
,4,MC,',What company was originally called "Cadabra"? ,False,1,FedEx,UnChecked,2,3.2,4,40.00 %,50.00 %,0.42
,5,T/F,',An octopus have 3 hearts.,False,1,True,Checked,13,3.73,4,24.94 %,25.00 %,0.26
,5,T/F,',An octopus have 3 hearts.,False,1,False,UnChecked,1,3.73,4,24.94 %,25.00 %,0.26
,6,T/F,',Mercury is closet to the sun.,False,1,True,Checked,12,3.47,4,33.99 %,50.00 %,0.43
,6,T/F,',Mercury is closet to the sun.,False,1,False,UnChecked,2,3.47,4,33.99 %,50.00 %,0.43
