Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,# Responses
User 1,,,,,,,,,
,1,T/F,',Is Michigan State University located in Detroit?,,,True,UnChecked,0
,1,T/F,',Is Michigan State University located in Detroit?,,,False,Checked,1
,2,MC,',What city has the highest life expectancy? ,,,HongKong,Checked,0
,2,MC,',What city has the highest life expectancy? ,,,New York,UnChecked,0
,2,MC,',What city has the highest life expectancy? ,,,Shanghai,UnChecked,0
,2,MC,',What city has the highest life expectancy? ,,,Singapore,UnChecked,1
,3,MC,',Which language has the more native speakers? ,,,English,UnChecked,0
,3,MC,',Which language has the more native speakers? ,,,Spanish,Checked,1
,3,MC,',Which language has the more native speakers? ,,,French,UnChecked,0
,3,MC,',Which language has the more native speakers? ,,,Russian,UnChecked,0
,4,MC,',What year was the United Nations established? ,,,1946,UnChecked,0
,4,MC,',What year was the United Nations established? ,,,1923,UnChecked,0
,4,MC,',What year was the United Nations established? ,,,1886,UnChecked,1
,4,MC,',What year was the United Nations established? ,,,1945,Checked,0
,5,MC,',What company was originally called "Cadabra"? ,,,Amazon,Checked,1
,5,MC,',What company was originally called "Cadabra"? ,,,Ford,UnChecked,0
,5,MC,',What company was originally called "Cadabra"? ,,,Uber,UnChecked,0
,5,MC,',What company was originally called "Cadabra"? ,,,FedEx,UnChecked,0
,6,T/F,',An octopus have 3 hearts.,,,True,Checked,1
,6,T/F,',An octopus have 3 hearts.,,,False,UnChecked,0
,7,T/F,',Igneous rocks are produced by volcanoes,,,True,Checked,1
,7,T/F,',Igneous rocks are produced by volcanoes,,,False,UnChecked,0
,8,M-S,',Which countries have national language of English,,,United States of America,UnChecked,1
,8,M-S,',Which countries have national language of English,,,Belgium,Checked,0
,8,M-S,',Which countries have national language of English,,,Fiji,Checked,0
,8,M-S,',Which countries have national language of English,,,Russia,UnChecked,0
,9,M-S,',Which animals have fur,,,cat,Checked,1
,9,M-S,',Which animals have fur,,,dog,Checked,1
,9,M-S,',Which animals have fur,,,mole-rat,UnChecked,0
,9,M-S,',Which animals have fur,,,kangaroo,Checked,1
,10,WR,',What is your favorite animal and why? (Write 3 sentences max.),,,I think turtles are cool.,,1
,11,SA,',The scientific name of the common house cat is ______ The scientific name of a dog is ______,,,Answer for blank # 1,no idea,
,11,SA,',The scientific name of the common house cat is ______ The scientific name of a dog is ______,,,Answer for blank # 2,no idea,
,12,MSA,',What three animals have caused the most deaths in the world (every year). ,,,Answers,Tiger,
,12,MSA,',What three animals have caused the most deaths in the world (every year). ,,,Answers,Frog,
,12,MSA,',What three animals have caused the most deaths in the world (every year). ,,,Answers,Elephant,
,13,FIB,',Thomas Edison invented the lightbulb in the year _______ .,,,Answer for blank # 1,1790,
